County,Value (Dollars)
Appanoose County,"60,169"
Decatur County,"66,754"
Wapello County,"67,016"
Jefferson County,"68,298"
Clarke County,"70,580"
Van Buren County,"70,893"
Fayette County,"71,025"
Franklin County,"72,089"
Page County,"72,199"
Wright County,"72,665"
Crawford County,"73,892"
Lee County,"75,154"
Audubon County,"75,473"
Montgomery County,"75,911"
Monona County,"76,144"
Emmet County,"76,332"
Taylor County,"76,854"
Des Moines County,"76,866"
Wayne County,"77,570"
Keokuk County,"77,740"
Allamakee County,"77,754"
Lucas County,"77,927"
Union County,"78,482"
Tama County,"78,503"
Calhoun County,"79,333"
Clayton County,"79,698"
Kossuth County,"80,048"
Ida County,"80,050"
Osceola County,"80,396"
Greene County,"80,429"
Butler County,"80,578"
Clinton County,"80,614"
Hardin County,"80,857"
Henry County,"80,893"
Humboldt County,"81,036"
Howard County,"81,250"
Mahaska County,"81,257"
Hamilton County,"81,270"
Jasper County,"81,606"
Pocahontas County,"82,009"
Muscatine County,"82,076"
Hancock County,"82,196"
Adams County,"82,639"
Webster County,"82,733"
Chickasaw County,"82,976"
Black Hawk County,"83,292"
Cass County,"83,435"
Louisa County,"83,792"
Fremont County,"83,844"
Pottawattamie County,"84,320"
Clay County,"84,432"
Ringgold County,"84,615"
Jackson County,"85,615"
Marshall County,"85,665"
Cerro Gordo County,"85,924"
Palo Alto County,"86,020"
Winnebago County,"86,098"
Woodbury County,"86,194"
Lyon County,"86,215"
Washington County,"86,333"
Buchanan County,"86,875"
Floyd County,"86,950"
Adair County,"87,135"
Sac County,"87,162"
Buena Vista County,"87,475"
Worth County,"87,750"
Winneshiek County,"88,023"
Mitchell County,"88,707"
Jones County,"88,862"
Davis County,"89,434"
Harrison County,"89,443"
Monroe County,"89,814"
O'Brien County,"89,832"
Shelby County,"90,041"
Poweshiek County,"90,108"
Marion County,"90,188"
Carroll County,"90,243"
Cherokee County,"90,243"
Iowa County,"90,301"
Delaware County,"90,572"
Guthrie County,"91,302"
Plymouth County,"94,094"
Cedar County,"94,132"
Dubuque County,"94,243"
Scott County,"94,696"
Grundy County,"94,726"
Benton County,"95,589"
Sioux County,"95,737"
Dickinson County,"96,296"
Linn County,"96,369"
Boone County,"97,936"
Bremer County,"98,823"
Polk County,"99,161"
Mills County,"100,809"
Madison County,"105,706"
Warren County,"107,434"
Story County,"109,432"
Johnson County,"112,575"
Dallas County,"130,231"